text,label
"Que gafe do VídeoShow, colocar uma cena de morte, no dia da morte do Nelson Xavier.  #VideoShowAoVivo",Negativo
Tapoha q prova difícil #MasterChefBR,Neutro
A voz da Vanessa da mata é uma coisa maravilhosa #altasHoras,Positivo
poooooooorra Mirian deixa o cara abrir a panela  #MasterChefBR,Negativo
"#MasterChefBR preciso parar de assistir esse programa, a vontade de cursar gastronomia aumenta a cada ep",Neutro
A Globo ja pode contratar a Mirian #MasterChefBR,Positivo
#VideoShowAoVivo @user  que saudades do Wando. Muito romântico!,Negativo
A Fátima já podia pedir pra o Nando cantar né? #NandoReisNoEncontro #Encontro,Neutro
A @user está linda! #encontro,Positivo
Todo dia é um 7 X 1 diferente...Só TOMBO! #MasterChefBR,Negativo
"Já, já logo após o #JornalRational no #ProgramaDoRatinho ☺😂, tem #APraçaÉNossa em seguida tem Carlos Alberto no #TheNoite no @user.",Neutro
O cabelo dá Ana está maravilhoso #MaisVoce,Positivo
"gente, q história eh essa q a Ana Luíza foi desclassificada do #MasterChefBR pq já trabalho como profissional????? tava lavando meu cabelo",Negativo
@user @user @user @user Nossa ontem eu ri tanto com a Yuko do #MasterChefBR com a história do pênis!,Neutro
#videoshowaovivo Lindooo o look da Lu Ferreira.. joca e otaaa beijuu😗,Positivo
"Esses colunistas do UOL adoram o SBT, me poupe darem destaque para o esdrúxulo #TheNoite mau gosto define!",Negativo
É a @user ou @user no #Encontro?,Neutro
"Jacquin é muito fofo, dá vontade de abraçar ele #MasterChefBR",Positivo
vitor b não pode sair hoje  #MasterChefBR,Negativo
G1 em 1 minuto no #Encontro,Neutro
#VideoShowAoVivo com Fátima Bernardes tudo de bom,Positivo
EU TÔ CHORANDO  #encontro,Negativo
Oscarina . Nome diferentao #Encontro,Neutro
"Vey quero chegar aos 56 igual a mulher do Nando Reis  Que pelee, que linda #Encontro",Positivo
Q MANCADA ASSUSTAR AS TIAS DA FAXINA KKKKKKKKKKKKKKKKKK PORRA #TheNoite,Negativo
"Nossa vem aqui Lutador , aqui coisa de alto valor calórico , não falta ! #MasterChefBR",Neutro
"#Encontro Mando nud p meu esposo, mesmo q ele divulgue eu não vejo problemas, afinal eu não mandava pra qualquer um, mandava p meu parceiro",Positivo
"Eu vou chorar tanto com: ""Aquarela"" tô morrendo desde já   #DomingoLegal",Negativo
Mônica é mãe da @user kkkkkk todo mundo já sabe  #édecasa,Neutro
Amo ouvir Dráuzio #ConversaComBial,Positivo
Bacuri com tucupi? Bizarro! Kkkkkkkkk #MasterChefBR,Negativo
#MasterChefBR a abóbora em pauta novamente...kkkk,Neutro
AMO Vanessa da Mata #AltasHoras,Positivo
"Não creio que @user saiu, meu mundo caiu💔😔 #MasterChefBR",Negativo
#thenoite @user armadilha do the noite captura Carlos Alberto.,Neutro
"banana ativa o hormônio da felicidade, por isso eu amo #Encontro",Positivo
"""Se ela trabalha o problema é dela, ela que contrate uma empregada"" VC TA LOUCO DE DROGA MEU QUERIDO? #Encontro",Negativo
"""Se você quiser eu vou te dar um amor desses de cinema""🎶 manda prx crush esse trecho #altashoras",Neutro
Legal esse final cm tdo mundo da praça e o danilo dançando cm o pessoal do trajavigor vestido dos personagenss da praça tocando #thenoite,Positivo
Canta pra caralho cala a boca vai toma no cu bicho #ConversaComBial,Negativo
"Tem @user falando de #MisterBrau Quem atacar, eu vou atacar!  #MaisVoce",Neutro
Adorei o rapaz de camisa preta e jaqueta amarradas na cintura. Ele dança so quando o tchan canta. Kkkkkkkkkkkkk... #AltasHoras.,Positivo
Obrigado #MasterChefBR por mais uma quarta feira cheia de sono 😴😴,Negativo
"A expressão ""levou o farelo"" não é pq a pessoa se lascou? Kkkkkkkkkkkkk #VideoShowAoVivo",Neutro
A RAZÃO DO MEU VIVER COMEÇOOOOOU #MasterChefBR,Positivo
Todas as novelas que a ingrid Guimarães faz ela está baranga #VideoShowAoVivo,Negativo
Eu nao assisti essa temporada de #MasterChefBR mas adorei a bee q foi eliminada essa semana usando os memes do #RuPaul,Neutro
"Ai gente essa música é a melhor né? #TremBala #PadreFabiodeMelo #ConversacomBial "" Sorria e abrace seus pais enquanto estão aqui..."" s2",Positivo
Não acredito que time azul perdeu 💔 #MasterChefBR,Negativo
#Encontro uma piada atrás da outra,Neutro
Joca lindo como sempre ❤ Mostra o Look hahahahaha  #VideoShowAoVivo,Positivo
Pq essa vaca não deixa a criança no chão? Saporra tá causando #encontro Lugar de criança é numa jaula. Mudando de canal. #odeioCrianca,Negativo
A idade não interfere nada mas sim muitas pessoas que tem preconceito #Encontro,Neutro
"De um lado ""É o Tchan"" e do outro ""Vanessa da Mata""... Muito bom! #altashoras #paz",Positivo
"""É a minha oportunidade de calar a boca desse povo que ta falando que eu não sei trabalhar em grupo"" Não sabe mesmo Leonardo! #MasterChefBR",Negativo
Ana Paula chegando de fininho para comer o prato da Paola #MasterChefBR,Neutro
A Sandy é tão linda que dói de ver #sandy #encontro,Positivo
AI do #VideoShowAoVivo se nao tiver gravado os bastidores do parto eu nao vou responder por mim sério @user @user,Negativo
"Imagens raras e inéditas do último aniversário de Hebe, em 8 de março de 2012, no #MaisVocê",Neutro
-Posso pegar na sua perna? Namaria representando a minha vontade nesta manhã ^_^#MaisVocê,Positivo
"#VideoShowAoVivo... Não aguento a chatice da Sophia Abrahão... Está sempre tensa, sorriso artificial, postura contraída e torta... Não dá...",Negativo
#VideoShowAoVivo PODE FAZER LOOK MASCULINO TBM,Neutro
"Nossa Cibele arrasou, no seu casamento #VideoShowAoVivo",Positivo
"Ai que bosta, de novo matéria de frango a passarinho, pula para os convidados caramba.   #MaisVoce",Negativo
#TheNoite com Carlos Alberto de Nóbrega no ar! @user,Neutro
inclusive vou almoçar assistindo meu mozão #MasterChefBR,Positivo
"Na moral a Fátima Bernardes ta ficando entrona,chata igual o Faustão #VideoShowAoVivo",Negativo
Alguém sabe o que aconteceu com a Laura Müller no serginho? #altashoras,Neutro
Cortez o melhor #VideoShowAovivo,Positivo
A geração nascida pelos 1940 mais ou menos é mto retrógrada.N tem como modificar essas cabeças.Só atrapalham na criação d netos #Encontro,Negativo
o nariz é igual da mãe  #EDeCasa,Neutro
Essa diversidade de Ingedientes do Pará é espetacular #MasterChefBR,Positivo
Já pensou? Serginho pedir perguntas e ninguém ter nenhuma? Ninguém levantar a mão?! #altashoras,Negativo
Né que Arnaldinho tá no #encontro hoje. Que tiro,Neutro
Vale Tudo no #Encontro: novelão influencer ❤,Positivo
"Ridículo Namaria dizer que ""tem brigadeiros melhores"" #Atardeesua #MaisVoce",Negativo
Ninguém saí da sala!!! Ana Maria está ensinando a passar roupa!!!  #MaisVoce,Neutro
"@user  Filhos são uma benção na nossa vida, tenho gêmeos já estão com 21 anos... #AltasHoras #DiaDasMães",Positivo
Sofri muito com a saída do meu amor Victor do #MasterChefBR,Negativo
Se fosse ligação nosso amor seria enganooooooo  @MaiaraeMaraisa  #MaiaraeMaraisaNoBial #ConversaComBial,Neutro
Ele é muito fofo #TheNoite,Positivo
Hora de virar sardinha no metrô em homenagem à prova do #MasterChefBR de ontem,Negativo
Gente é Fatima Bernardes. Kkkkkk #VideoShowAoVivo,Neutro
MORTAAAAAAAAAA 😂😂😂 #TheNoite,Positivo
EU ESTOU EM PRANTOS #MasterChefBR,Negativo
#MasterChefBR Léo sai da competição,Neutro
Pelo amor de Deus! Deixem esse tchau do @user pra sempre no final @user ❤️ #TheNoite,Positivo
"De boa, a gente tem que falar sério nesse momento: que porra é essa no #masterchefbr de exigir uma prova usando CALDO KNOR?",Negativo
Aquilo não é uma calcinha... é quase uma bermuda #maisvocê,Neutro
Melhor episódio da temporada do #MasterChefBR só fecharia com chave de ouro se a Miriam saísse. O demônio essa mulher.,Positivo
"quando o cantor começa a cantar a música diferente da original, isso quer dizer que ele já deve tá de saco cheio de cantar ela #altashoras",Negativo
Carlos Alberto vai virar Youtuber #TheNoite #APracaENossa,Neutro
Pode shippar o @user e a @user ? &lt;3 #MasterChefBR,Positivo
queria @user sentadas aqui no sofá de casa conversando cmg mas enquanto isso vamos vendo a #ConversaComBial #MaiaraeMaraisaNoBial,Negativo
Ana parece aquela amiga que dá PT e se acaba na night. #MasterChefBR,Neutro
#thenoite.@user massa hoje,Positivo
#MASTERCHEFBR tem q sair a Miriam já deu já... chatice,Negativo
Sou apaixonado pela chef Paola  #MasterChefBR,Neutro
é legal ver a sua colunista preferida na tv. A @user está no #Encontro,Positivo
Essa músiquinha não tá ajudando :( #MasterChefBR,Negativo
Eu lavo louça e sou homem (só nao lavo banheiro rsrs)  #Encontro,Neutro
"Porquê, quando a gente gosta muito do entrevistado o tempo passa muito rápido? #MaisVoce",Positivo
pq o Victor B saiu do #MasterChefBR,Negativo
"Terça (16), séries e Talk Show da GLOBO marcaram:  #MisterBrau 20.7 #OsDiasEramAssim 15.1 #ConversaComBial 8.2 #RushMedicinaVIP 6.3",Neutro
"Muitos vão te dizer ""Eu Te amo"", mas Amor de mãe não se discute! #altashoras *Mary Help...💞😹🔥",Positivo
Tô com saudades do jogo de panelas #MaisVoce,Negativo
"#TheNoite Vamos deixar o Brasil sem presidente , agente faz um Grupão no Whatssap e vai decidindo as coisas ;",Neutro
CLIPE NOVO COM TERESA E DULCE EU NÃO VOU AGUENTAR 😢😭😍😍😍🙆🙆❤❤❤ @luceromexico  #DomingoLegal,Positivo
Num vejo nada q preste #MasterChefBR,Negativo
#DomingoLegal sao sebastiao do paraiso MG! Cidade pertinho de franca onde eu moro,Neutro
"#MaisVoce @user 😍😍😍  Ana Maria Braga deita no chão ao vivo, enquanto um cara gostoso faz movimentos sensuais em cima dela 😂",Positivo
"Capacidade de gostar dos piores, só Jesus ! #ConversaComBial",Negativo
Atílio e sua salada pra próxima audição do #MasterChefBR! #PorAmorNoVIVA,Neutro
"Patrícia Poeta magérrima, finge que come e de tdo no #EDeCasa, qual o problema da Tais Araújo que é atriz ter fingido que comia abóbora?",Positivo
Nessa prova de eliminação do #MasterChefBR  de hoje.. o unico prato que eu tentaria comer era o da yuko.. Sardinha bléhr,Negativo
Já vi tanta luta e tanta malhação hoje no #MasterChefBR que nem preciso ir amanhã na academia. será que vale?,Neutro
"""Cê esqueceu a letra?"" Kkkkk adorei essa agora #Encontro",Positivo
- Quantos clipes?  - Um monte - Quantos?  - uns 7 ou 8.  . . . #altashoras,Negativo
Oq temos para esse final de sábado??? Uma dose de #altashoras,Neutro
"#VideoShowAoVivo.  É ou não é a  filha de @user  ali, com Chacrinha?  Lindas!",Positivo
Ninguém aguenta mais a Mirian e o Leonardo #MasterChefBR,Negativo
Gente a Ana kkkkkkkkk #MaisVoce,Neutro
bela gil é toda calma né? bem good vibes adorei #altashoras,Positivo
"Enquanto isso Mirian e Nayane continuam, aff #MasterChefBR",Negativo
Já começou o #TheNoite,Neutro
@user segurando o sono só pra vê vocês #MaiaraeMaraisaNoBial #ConversaComBial,Positivo
"""Eu não vou passar vergonha no meu próprio programa"" mas você sempre passa @user #TheNoite",Negativo
"Gente, já pensou acontece uma briga real entre os convidados!? #MasterChefBR",Neutro
#ConversaComBial Que tema importante. Democracia ! Comunicação popular é o melhor caminho!!,Positivo
Eu ja sabia só não respondi porque queria deixar outras pessoas responderem  #VideoShowAoVivo,Negativo
Escondendo essa barriguinha de que? De nhoque né hahahah #VideoShowAoVivo,Neutro
"#MaisVocê eu n posso ver essas máquinas,q da vontade ter tds",Positivo
